EGP_ID;SuperCategory;SubCategory;Level;Type;Guideword;Can-do statement;Example
27;CLAUSES;declarative;A1;FORM;FORM: AFFIRMATIVE DECLARATIVE, MODAL AUXILIARY VERBS;Can form an affirmative declarative clause with modal verbs.;"I can go to see her tomorrow. (A1 BREAKTHROUGH; 2009; Panjabi; Pass)

I will visit you soon. (A1 BREAKTHROUGH; 2009; Kurdish; Pass)"
28;CLAUSES;interrogatives;A1;FORM;FORM: AFFIRMATIVE INTERROGATIVE, WITH 'BE';Can form interrogative clauses with 'be'. ;"How are you? (A1 BREAKTHROUGH; 2009; Farsi; Pass)

Are you ok? (A1 BREAKTHROUGH; 2011; Thai; Pass)"
30;CONJUNCTIONS;coordinating;A1;FORM;FORM: WORD + WORD;Can use single word conjunctions ('and, but, or') to connect single nouns and adjectives.;"I like chicken and rice. I don't like meat and fish. (A1 BREAKTHROUGH; 2006; Kurdish; Pass)

My street is quiet and friendly. (A1 BREAKTHROUGH; 2008; Polish; Pass)

On Monday and Wednesday I have English and maths. (A1 BREAKTHROUGH; 2007; Polish; Pass)

I like my kitchen, it is small but nice. (A1 BREAKTHROUGH; 2009; Polish; Pass)

I like cheese pizza or chicken. (A1 BREAKTHROUGH; 2006; French; Pass)

I like to eat soup, eggs, meat and salad or banana and cheese. (A1 BREAKTHROUGH; 2006; Polish; Pass)"
31;CONJUNCTIONS;coordinating;A1;FORM;FORM: PHRASE + PHRASE;Can use single word conjunctions ('and, but, or') to combine phrases.;"My home is very light and very comfortable. (A1 BREAKTHROUGH; 2009; Polish; Pass)

I live with my mother and her boyfriend. (A1 BREAKTHROUGH; 2009; Polish; Pass)

My house is small but very nice. (A1 BREAKTHROUGH; 2009; Pashto; Pass)

She likes to go to the cinema or to the theatre. (A1 BREAKTHROUGH; 2006; French; Pass)"
32;CONJUNCTIONS;coordinating;A1;FORM;FORM: CLAUSE + CLAUSE;Can use single word conjunctions ('and, but, or') to combine clauses.;"He is a journalist and he likes everything about cinema. (A1 BREAKTHROUGH; 2006; Italian; Pass)

There are lots of shops in the town and the town is only five minutes away. (A1 BREAKTHROUGH; 2008; Urdu; Pass)

I have visited a lot of places, but the best place is Thailand. (A1 BREAKTHROUGH; 2007; Slovak; Pass)

I like to eat pasta or pizza, but I'm easy about food, I can eat anything. (A1 BREAKTHROUGH; 2006; French; Pass)

We love to go to the cinema, or just sit together and have a laugh. (A1 BREAKTHROUGH; 2006; Portuguese; Pass)"
33;CONJUNCTIONS;coordinating;A1;FORM;FORM: SENTENCE + SENTENCE;Can use single word conjunctions ('and, but, or') to combine sentences.;"I like it because there are lots of shops, it is not too busy and there is lots of parking. And I like my home because it's not too big and it's a very nice flat. (A1 BREAKTHROUGH; 2009; Tamil; Pass)

I am from Estonia. Estonia it is a small country near the Baltic Sea. But now I live in Dorchester, because I work here. (A1 BREAKTHROUGH; 2007; Russian; Pass)

I go shopping on Ladypool Road. Or sometimes I go to my local shop.  (A1 BREAKTHROUGH; 2008; Panjabi; Pass)"
36;CONJUNCTIONS;subordinating;A1;FORM;FORM: 'BECAUSE' ;Can use 'because' as a subordinating conjunction to introduce a subordinate clause. ;"I want a big garden because I have children. (Arabic - Other)

She likes meeting other people because she wants to improve her English. (Nepali)"
37;DETERMINERS;articles;A1;FORM;FORM: WITH NOUNS ;Can use articles 'the', 'a' and 'an' before nouns. ► noun phrases;"She lives in a small flat in the town - it's great! (A1 BREAKTHROUGH; 2006; German; Pass)

I have an appointment with my G.P. at 5.45 pm. (A1 BREAKTHROUGH; 2006; Turkish; Pass)"
38;DETERMINERS;articles;A1;FORM;FORM: 'A' + ADJECTIVES;Can use 'a' and 'an' before adjectives in a noun phrase. ► adjectives ►  noun phrases;"You can make a quick snack, for example a sandwich. (A1 BREAKTHROUGH; 2006; German; Pass)

We have a big garden and a small swimming pool. (A1 BREAKTHROUGH; 2009; Arabic - Other; Pass)

I like it because it is an interesting place. (A1 BREAKTHROUGH; 2007; Romanian; Fail)

It's an old house, about 50 years old. (A1 BREAKTHROUGH; 2007; Arabic - Other; Fail)"
39;DETERMINERS;articles;A1;FORM;FORM: 'A' + 'VERY' + ADJECTIVES;Can use 'a' + 'very' + adjectives in basic noun phrases. ► adverbs ►  noun phrases;"He's a very good man. (A1 BREAKTHROUGH; 2006; Mandarin; Pass)

It is a very beautiful place. (A1 BREAKTHROUGH; 2007; Russian; Pass)

It's a very nice town. (A1 BREAKTHROUGH; 2007; Slovak; Pass)"
40;DETERMINERS;articles;A1;FORM;FORM: PREPOSITION + 'THE' + NOUN;Can use 'the' in prepositional phrases relating to time.;"I work at the weekend and I'm very busy from Monday to Friday. (A1 BREAKTHROUGH; 2008; Polish; Pass)

I can come to see you on Friday in the morning. (A1 BREAKTHROUGH; 2009; Thai; Pass)"
41;DETERMINERS;articles;A1;FORM;FORM: PREPOSITION + NO ARTICLE;Can use no article before a limited range of nouns in some fixed expressions with prepositions.;"If you are at home, I can come tomorrow. (A1 BREAKTHROUGH; 2009; Farsi; Pass)

We are going to the sports centre by car. (Brazil; A2 WAYSTAGE; 2008; Portuguese; Pass)

I go to college every day. (A1 BREAKTHROUGH; 2007; Polish; Pass)"
43;DETERMINERS;demonstratives;A1;FORM;FORM: 'THIS' WITH SINGULAR NOUNS;Can use 'this' with singular nouns. ► noun phrases ►  pronouns: demonstrative;"I like this place because is very nice and quiet. (A1 BREAKTHROUGH; 2007; Polish; Pass)

If you like, then we can go this Saturday. (A1 BREAKTHROUGH; 2011; Lithuanian; Pass)"
46;DETERMINERS;possessives;A1;FORM;FORM: WITH NOUNS;Can use possessive determiners 'my', 'your', 'his', 'her' and 'our' before nouns. ► noun phrases ► possessive pronouns;"I live with my family. My home is a flat. (A1 BREAKTHROUGH; 2009; Urdu; Pass) … my neighbours are very nice and helpful. (A1 BREAKTHROUGH; 2009; Panjabi; Pass) I like my teachers. (A1 BREAKTHROUGH; 2007; Farsi; Pass) I live with my mother and her boyfriend. (A1 BREAKTHROUGH; 2009; Polish; Pass) Our house has four rooms, one bathroom and one toilet. (A1 BREAKTHROUGH; 2009; Slovak; Pass)"
47;DETERMINERS;quantity;A1;FORM;FORM: WITH PLURAL NOUNS ;Can use a limited range of quantifying determiners with plural nouns ('some', 'lots of', 'a lot of' and numbers).;"Near my home there are some shops. (Portuguese, A1 BREAKTHROUGH, Pass, 2009)

My house has got three rooms. (Polish, A1 BREAKTHROUGH, Pass, 2009) 

I had a lot of friends in this town. (A1 BREAKTHROUGH; 2007; Pashto; Pass)

For homework we have to write lots of things. (A1 BREAKTHROUGH; 2007; ; Pass)"
48;DETERMINERS;quantity;A1;FORM;FORM: WITH SINGULAR NOUNS;Can use a limited range of quantifying determiners with singular nouns ('a', 'every').► determiners: articles;"In my home are 3 bedrooms. I have a big kitchen and small toilet. (A1 BREAKTHROUGH; 2009; Polish; Pass)

The first floor has two bedrooms and a big bathroom with a bath. (A1 BREAKTHROUGH; 2009; Romanian; Pass)

I go to India every year to see my friends and family. (Panjabi, A1 BREAKTHROUGH, Pass, 2007)

I go to college every day. (A1 BREAKTHROUGH; 2007; Polish; Pass)"
49;FUTURE;future with will and shall;A1;FORM;FORM: AFFIRMATIVE 'WILL';Can use the affirmative forms 'will' and ''ll'. ;"I will see you soon. (A1 BREAKTHROUGH; 2009; Urdu; Pass)

I'll come at 7 o'clock. (A1 BREAKTHROUGH; 2006; Others; Pass)"
51;MODALITY;can;A1;FORM;FORM: AFFIRMATIVE;Can use the affirmative form.;"You can see a lot of special places in Wroclaw. (A1 BREAKTHROUGH, 2007, Polish)

You can make a quick snack, for example, a sandwich. (A1 BREAKTHROUGH, 2006, German)"
52;MODALITY;can;A1;FORM;FORM: NEGATIVE ;Can use the negative forms.;"I cannot come to see you. (A1 BREAKTHROUGH, 2009, Bengali)

I'm very nervous and I can't say anything. (A1 BREAKTHROUGH Polish)"
53;MODALITY;can;A1;FORM;FORM: QUESTION ;Can use the affirmative question form.;"Can you come for dinner Monday at 6.00 pm? (Arabic - Other, A1 BREAKTHROUGH, Pass, 2008)

Can we go to the park on the Sunday? (Somali, A1 BREAKTHROUGH, Pass, 2011)"
58;MODALITY;will;A1;FORM;FORM: AFFIRMATIVE;Can use the affirmative forms. ;"I will be at your house at 7.30 because I have an appointment before. (A1 BREAKTHROUGH; 2006; Russian; Pass)

I'll come to see you tomorrow morning. (A1 BREAKTHROUGH; 2009; Nepali; Pass)"
60;MODALITY;would;A1;FORM;FORM: AFFIRMATIVE WITH 'LIKE';Can use the affirmative form with 'like'. ;"I'd like to invite you to dinner. (Farsi, A1 BREAKTHROUGH, Pass, 2008)

I would like to eat some Spanish food. (Italian, A1 BREAKTHROUGH, Pass, 2006)"
63;NOUNS;noun phrases;A1;FORM;FORM: DETERMINER + NOUN;Can form simple noun phrases with a limited range of determiners + singular and plural nouns. ► Nouns and noun phrases: functions;"There is also a park near my house. (A1 BREAKTHROUGH; 2009; Pashto; Pass)

My husband is a teacher. (A1 BREAKTHROUGH; 2009; Korean; Pass)

That's why I like this place. (A1 BREAKTHROUGH; 2007; Urdu; Pass)

I go to college every day. (A1 BREAKTHROUGH; 2007; Polish; Pass)"
64;NOUNS;noun phrases;A1;FORM;FORM: DETERMINER + ADJECTIVE + NOUN;Can form simple noun phrases by pre-modifying singular and plural nouns with an adjective after a determiner. ;"Martin is my best friend. (A1 BREAKTHROUGH; 2006; Slovak; Pass)

We have a big garden and a small swimming pool. (A1 BREAKTHROUGH; 2009; Arabic - Other; Pass)

Her favourite colours are blue and black. (A1 BREAKTHROUGH; 2006; Hungarian; Pass)"
65;NOUNS;noun phrases;A1;FORM;FORM: ADJECTIVE + PLURAL NOUN;Can form simple noun phrases by pre-modifying plural nouns with an adjective and no determiner. ;"I have new neighbours. (A1 BREAKTHROUGH; 2008; Gujarati; Pass)

They're nice people. (A1 BREAKTHROUGH; 2009; Arabic - Other; Pass)

This place has nice shops. (A1 BREAKTHROUGH; 2007; Polish; Pass)

I like reading interesting books in the Library. (A1 BREAKTHROUGH; 2007; Polish; Pass)"
66;NOUNS;noun phrases;A1;FORM;FORM: NOUN + NOUN;Can form noun phrases by pre-modifying a limited range of nouns with another noun. ;"Every Friday I go swimming and play computer games. (Poland; A1 BREAKTHROUGH; 2010; Polish; Pass)

I am having a dinner party on Friday 25 December at 7 pm. (India; A1 BREAKTHROUGH; 2010; Panjabi; Pass)

Can you come to my house on Friday evening? (Iran; A1 BREAKTHROUGH; 2010; Farsi; Pass)

My girlfriend likes vegetable pasta with tomato sauce, because she is vegetarian. (A1 BREAKTHROUGH; 2006; Polish; Pass)"
67;NOUNS;types;A1;FORM;FORM: COMMON NOUNS;Can use a limited range of common nouns. ;"My house is in Ilford. (A1 BREAKTHROUGH; 2009; Tagalog; Pass)

In my free time I go shopping and I like swimming. (Poland; A1 BREAKTHROUGH; 2010; Polish; Pass)

My friend is called Jessica. (A1 BREAKTHROUGH; 2006; German; Pass)"
68;NOUNS;types;A1;FORM;FORM: PROPER NOUNS;Can use proper nouns with a capital letter to refer to specific people, places, days and things. ;"I want to see you on Saturday and Sunday. (A1 BREAKTHROUGH; 2009; Portuguese; Pass)

In Leicester I live in an area called Hamilton. (A1 BREAKTHROUGH; 2009; Gujarati; Pass)

This place is Gloscat College in Gloucester. (A1 BREAKTHROUGH; 2007; Tigrinya; Pass)

My friend is called Monika , she comes from Poland. (A1 BREAKTHROUGH; 2006; Polish; Pass)"
69;NOUNS;types;A1;FORM;FORM: COMPOUND NOUNS;Can use a range of compound nouns, as one-word, two-word and hyphenated compounds, formed from verb + noun, noun + noun and adjective + noun combinations. ;"She likes to go to the swimming pool and to the gym. (A1 BREAKTHROUGH; 2006; Ukrainian; Pass)

There are seven rooms: three bedrooms, a living room, a kitchen and there are two bathrooms. (A1 BREAKTHROUGH; 2009; Farsi; Pass)

My house is next to the bus stop. (A1 BREAKTHROUGH; 2009; Bengali; Pass)

My home is in Belfast, near the city centre. (A1 BREAKTHROUGH; 2009; Italian; Pass)

There's a supermarket and  a post office . (A1 BREAKTHROUGH; 2007; Polish; Pass)

He likes sports like ice-hockey and table tennis. (A1 BREAKTHROUGH; 2006; Singhalese; Pass)

I buy wines and ice-cream. (A1 BREAKTHROUGH; 2006; Others; Pass)"
70;NOUNS;plural;A1;FORM;FORM: PLURAL '-S';Can form plurals by adding '-s' to common countable nouns. ;"We play computer games. (A1 BREAKTHROUGH; 2011; Polish; Pass)

You have to walk just 5 minutes down the road. (A1 BREAKTHROUGH; 2008; Russian; Pass)

My favourite season is  summer, because it's very hot and there are a lot of flowers and nice trees. (A1 BREAKTHROUGH; 2011; Hungarian; Pass)"
71;NOUNS;noun phrases - grammatical functions;A1;FORM;FORM: AS SUBJECTS ;Can use nouns and noun phrases as subjects of the clause. ;"His name is Stanislav. (Singhalese, A1 BREAKTHROUGH)

My friends are from Poland, Hungary, Libya, and Morocco. (Slovak, A1 BREAKTHROUGH)"
72;NOUNS;noun phrases - grammatical functions;A1;FORM;FORM: AS OBJECTS;Can use nouns and noun phrases as objects of the clause. ;"I love my house. (Thai, A1 BREAKTHROUGH)

When I have time, I visit my family. (Portuguese, A1 BREAKTHROUGH)"
73;NOUNS;noun phrases - grammatical functions;A1;FORM;FORM: AS COMPLEMENT OF PREPOSITIONS;Can use nouns and noun phrases as complements of prepositions in prepositional phrases. ;"I invite you and your family to come to my house for dinner. (Portuguese, A1 BREAKTHROUGH)

I like everything in my house. (Tamil, A1 BREAKTHROUGH)"
74;NOUNS;noun phrases - grammatical functions;A1;FORM;FORM: AS COMPLEMENT OF 'BE';Can use nouns and noun phrases as complements of the verb 'be'. ;"There is a big garden. (A1 BREAKTHROUGH; 2009; Urdu; Pass)

Hi Rie, It's Mohamad. (A1 BREAKTHROUGH; 2006; Kurdish; Pass)

He is a student in B6 College. (A1 BREAKTHROUGH; 2006; Turkish; Pass)"
75;NOUNS;noun phrases - grammatical functions;A1;FORM;FORM: AS ADJUNCTS;Can use nouns and noun phrases as adjuncts in some time expressions. ;"But if not, then I will see you tomorrow morning. (A1 BREAKTHROUGH; 2009; Tamil; Pass)

I can go to see her tomorrow because I am going to a job interview today. (A1 BREAKTHROUGH; 2009; Panjabi; Pass)

I will write to you again next week. (A1 BREAKTHROUGH; 2007; Spanish - Other; Pass)"
76;PAST;past simple;A1;FORM;FORM: AFFIRMATIVE;Can use the affirmative form with a limited range of regular and irregular verbs.;"Every day at college I went to class at 9 am. (A1 BREAKTHROUGH; 2007; Portuguese; Pass)

I met her about ten years ago. (A1 BREAKTHROUGH; 2006; Others; Pass)

My grandmother lived in a village and I often went there. (A1 BREAKTHROUGH; 2007; Polish; Pass)"
78;PREPOSITIONS;prepositions;A1;FORM;FORM: SIMPLE;Can use a limited range of simple (single-word) prepositions. ;"I'm sending some flowers to you. (A1 BREAKTHROUGH; 2009; Romanian; Pass)

He works in Bognor Regis. (A1 Slovak)

I can cook some food for you. (A1 BREAKTHROUGH; 2009; Bengali; Pass)

I usually go shopping with her in Chester. (Bulgarian, A1 BREAKTHROUGH, Pass, 2006)

Can you come on Saturday at five o'clock in the afternoon? (A1 Polish)

I will come to your house on time. (A1 BREAKTHROUGH; 2006; Mandarin; Pass)"
79;PREPOSITIONS;prepositions;A1;FORM;FORM: PREPOSITION + NOUN PHRASE;Can form prepositional phrases with a preposition and a noun phrase. ;"When I have free time, I go to the park with my dog. (A1 BREAKTHROUGH; 2007; Polish; Pass)

We have lots of vegetables and fruit in the summer. (A1 BREAKTHROUGH; 2009; Slovak; Pass)

We sometimes meet friends or go to the Sports Center at the weekend. (A1 BREAKTHROUGH; 2006; Mandarin; Pass)"
80;PRESENT;present continuous;A1;FORM;FORM: AFFIRMATIVE;Can use the affirmative form.;"I am sending you some flowers, because you are not well. (Bengali, A1 BREAKTHROUGH, 2009)

I am writing to tell you what I do every day at college. (Mandarin, ===NONE===, A1 BREAKTHROUGH, Pass, 2007)"
82;PRESENT;present simple;A1;FORM;FORM: AFFIRMATIVE;Can use the affirmative form with a limited range of regular and irregular verbs.;"Every day at college I learn new words and new things. (Skills for life Elementary 1, A1, Polish)

I am your new neighbour. (Skills for life Elementary 1, A1, Panjabi)

She plays tennis and she likes going to the swimming pool. (Skills for life Elementary 1, A1, French)"
83;PRESENT;present simple;A1;FORM;FORM: NEGATIVE;Can use the negative form with a limited range of regular and irregular verbs.;"I don't like meat and fish. (Skills for life Elementary 1, A1, Kurdish)

You don?t know the place. (Skills for life Elementary 1, A1, French)"
84;PRESENT;present simple;A1;FORM;FORM: WITH 'REALLY';Can use the present simple with the adverb 'really' as an intensifier. ► adverbs;"I really like my kitchen, because it is big and new and it makes my cooking easy. (Skills for life Elementary 1; A1, Somali)

I really want to see you. (Skills for life Elementary 1, A1, Polish)"
86;PRONOUNS;subject/ object;A1;FORM;FORM: (OBJECT) 'IT';Can use the pronoun 'it' as a direct object to refer to an object or situation already referred to.;"The maths is boring and I don't like it. (Skills for Life (Entry 1); A1; Portuguese)

If you can't find it, call me. (Skills for Life (Entry 1); A1; Turkish)

Do you like it too? (Skills for Life (Entry 1); A1; German)"
87;PRONOUNS;subject/ object;A1;FORM;FORM: (OBJECT) 'ME', 'YOU', 'HER', 'HIM', 'US', 'THEM' ;Can use the pronouns 'me', 'you', 'him', 'her', 'us' and 'them' in the direct object position after a transitive verb.;"I'm very happy that you want to see me. (Skills for Life (Entry 1); A1; German)

I can see her on Saturday at 8 pm. (Skills for Life (Entry 1); A1; Arabic)

It protects us from rain, wind and sun. (Skills for Life (Entry 1); A1; Portuguese)

You will find a lot of different shops ? I hope you'll like them. (Skills for Life (Entry 1); A1; Russian)"
88;PRONOUNS;subject/ object;A1;FORM;FORM: (OBJECT) WITH PREPOSITION ;Can use the object pronouns 'me', 'you', 'him', 'her', 'it', 'us' and 'them' in the object position after prepositions. ;"I really like to learn new words. It's very important for me. (Skills for Life (Entry 1); A1; Polish)

Sometimes I go with her. (Skills for Life (Entry 1); A1; Polish)

Can you bring some music so we can listen to it. (Skills for Life (Entry 1); A1; no L1 specified)

I spend my free time with them. (Skills for Life (Entry 1); A1; Lithuanian)"
89;PRONOUNS;subject/ object;A1;FORM;FORM: (SUBJECT) 'IT' FOR FIRST PERSON;Can use the pronoun 'it' before 'be' to refer to a first person speaker or writer.;"Hello Mrs Bishop. It's Clarisse (Skills for Life (Entry 1); A1; French)

Dear Cris, it's me, Paarth. (India; A2 WAYSTAGE; 2009; Hindi; Pass)"
90;PRONOUNS;subject/ object;A1;FORM;FORM: (SUBJECT) QUESTIONS;Can use the pronouns 'I', 'you', 'we' and 'they' after an auxiliary or modal verb in question forms.;"Can I help you? (Skills for Life (Entry 1); A1; Arabic ? other)

What do you think about that? (Skills for Life (Entry 1); A1; French)

Can we have a chat? (Skills for Life (Entry 1); A1; Russian)"
91;PRONOUNS;subject/ object;A1;FORM;FORM: (SUBJECT) QUESTIONS WITH 'BE';Can use the pronouns 'you' and 'it' after 'be' in question forms.;"Hi, Mrs. Bishop. How are you? (Skills for Life (Entry 1); ; A1 BREAKTHROUGH; 2009; Tagalog; Pass)

Is it OK? (Skills for Life (Entry 1); ; A1 BREAKTHROUGH; 2009; Romanian; Pass)"
92;PRONOUNS;subject/ object;A1;FORM;FORM: (SUBJECT) STATEMENTS;Can use the pronouns 'I', 'you', 'he', 'she', 'it', 'we' and 'they' in the subject position before a verb in statements.;"In my free time I go shopping and I like swimming. (Skills for Life (Entry 1); A1; Polish)

If you want, you can go inside. (Skills for Life (Entry 1); A1; Hindi)

He prefers chess. (Skills for Life (Entry 1); A1; Singhalese)

My friend's name is Julissa, she is from Ecuador and she lives near my home. (Skills for Life (Entry 1); A1; Spanish)

I like my home because it is a beautiful home. It has a big garden and a good sitting room. (Skills for Life (Entry 1); A1; Pashto)

I like my front garden because it's very nice and warm. (Skills for Life (Entry 1); A1; Czech)

They're nice people. (Skills for Life (Entry 1); A1; Arabic) "
